#margin  /ˈmɑːdʒɪn/> n.边缘，范围；极限；利润，盈余；（版心外）的空白
marksman  /ˈmɑːksmən/> n.神枪手；〈美〉二等射手，轻兵器射手的最低等级；
swelling  /ˈswɛlɪŋ/> n.肿胀；膨胀；增大；
sweater  /ˈswɛtə/> n.毛衣，运动衫；出汗（过多）的人，发汗剂；榨取别人血汗的人（或工厂、公司等）；
swiftness  /ˈswɪftnəs/> n.迅速，快；
swindle  /ˈswɪnd(ə)l/> n.诈骗，骗取；骗局；冒牌货，冒名顶替者；
swindler  /ˈswɪndlə/> n.骗子；
swivel  /ˈswɪv(ə)l/> n.转节；转环；旋轴；旋转接头
swither  /ˈswɪðə/> n.怀疑，困惑；
swinger  /ˈswɪŋə/> n.摆动（或挥动）的人，赶时髦的人；
swineherd  /ˈswʌɪnhəːd/> n.养猪的人；猪倌；
sahib  /ˈsɑː(h)ɪb | sɑːb/> n.先生；阁下；大人；欧洲官员或欧洲移民
sergeant  /ˈsɑːdʒ(ə)nt/> n.[军]军士，中士；警官，巡官；高级律师；〈美〉一种地对地导弹
serjeant  /ˈsɑːdʒ(ə)nt/> n.高级律师；
sarcasm  /ˈsɑːkaz(ə)m/> n.讥讽；讽刺话；
saki  /ˈsɑːki/> n.（南美洲的）粗尾猿；狐尾猴；
sampler  /ˈsɑːmplə/> n.采样器；样板；样品检查员；
saga  /ˈsɑːɡə/> n.萨迦（尤指古代挪威或冰岛讲述冒险经历和英雄业绩的长篇故事）；（讲述许多年间发生的事情的）长篇故事；传说，冒险故事，英雄事迹；
sodbuster  /ˈsɒdbʌstə/> n.农夫；耕具，犁；
sodomite  /ˈsɒdəmʌɪt/> n.鸡奸者；口交者；兽奸者；尸奸者
sojourn  /ˈsɒdʒ(ə)n | ˈsɒdʒəːn/> n.逗留，旅居；
softwood  /ˈsɒf(t)wʊd/> n.软木材；
softness  /ˈsɒftnəs/> n.柔和；温柔；柔软；[农]粉质性
sophomore  /ˈsɒfəmɔː/> n.（中等、专科学校或大学的）二年级学生；
sophist  /ˈsɒfɪst/> n.诡辩家，博学者，诡辩者；
sophistry  /ˈsɒfɪstri/> n.诡辩术；（一次）诡辩；
sophism  /ˈsɒfɪz(ə)m/> n.谬论，诡辩；
soccer  /ˈsɒkə/> n.足球；〈口〉英式足球；
socket  /ˈsɒkɪt/> n.插座；灯座；窝，穴；[解]眼窝，孔窝
solstice  /ˈsɒlstɪs/> n.至，至日；
solvent  /ˈsɒlv(ə)nt/> n.[化]溶剂，溶媒；解释，说明；解决方法；使瓦解的东西
solidus  /ˈsɒlɪdəs/> n.斜线符号；
solace  /ˈsɒlɪs/> n.安慰，安慰物；
solecism  /ˈsɒlɪsɪz(ə)m/> n.语法[成语]错误；失礼，无礼；
solitary  /ˈsɒlɪt(ə)ri/> n.独居者，隐士；单独禁闭；
solitude  /ˈsɒlɪtjuːd/> n.单独，孤独；偏僻处，隐居处；幽静（的地方），荒野；
sonnet  /ˈsɒnɪt/> n.十四行诗；短诗；商籁体；
sorrel  /ˈsɒr(ə)l/> n.红褐色，栗色；栗色马；
sorrow  /ˈsɒrəʊ/> n.悲痛；悔恨，惋惜；伤心事；
sausage  /ˈsɒsɪdʒ/> n.香肠，腊肠；〈口〉德国人；
sovereign  /ˈsɒvrɪn/> n.君主；最高统治者；独立国；旧时价值为一镑的英国金币
sovereignty  /ˈsɒvrɪnti/> n.国家的主权；君权，最高统治权；独立自主；主权国家
songster  /ˈsɒŋstə/> n.歌唱家；
sawbones  /ˈsɔːbəʊnz/> n.医生，尤指外科医生；
sawbuck  /ˈsɔːbʌk/> n.锯木架；
swordplay  /ˈsɔːdpleɪ/> n.击剑，剑术，针锋相对的争论；
sawdust  /ˈsɔːdʌst/> n.锯末；木屑；
sawhorse  /ˈsɔːhɔːs/> n.锯木架；
sawmill  /ˈsɔːmɪl/> n.锯木厂；
saunter  /ˈsɔːntə/> n.漫步；闲逛；混日子；闲荡
soreness  /ˈsɔːnəs/> n.疼痛；不睦；悲伤；痛心
sorcery  /ˈsɔːs(ə)ri/> n.巫术，魔术；魅力；魔法；妖术
sorcerer  /ˈsɔːs(ə)rə/> n.男巫，方士，施魔法者；
saucepan  /ˈsɔːspən/> n.长柄而有盖子的深平底锅，炖锅；
saucer  /ˈsɔːsə/> n.茶杯托，茶碟；（放花盆的）垫盘（等）；浅碟形盆地；〈美〉拳击场
sortie  /ˈsɔːtiː/> n.突围，突击；出击部队；（飞机出动的）架次；
sobriquet  /ˈsəʊbrɪkeɪ/> n.绰号，诨名；
sodium  /ˈsəʊdɪəm/> n.钠(11号元素，符号Na)；
soaking  /ˈsəʊkɪŋ/> n.浸湿，浸透；
solder  /ˈsəʊldə | ˈsɒldə/> n.焊料，焊锡；
soldiery  /ˈsəʊldʒ(ə)ri/> n.军人；
solo  /ˈsəʊləʊ/> n.独唱（曲），独奏（曲）；单飞；单人表演；
soma  /ˈsəʊmə/> n.身体，肉体，人体细胞；
sonant  /ˈsəʊnənt/> n.浊音；
soapbox  /ˈsəʊpbɒks/> n.肥皂箱；
sopor  /ˈsəʊpə/> n.迷睡，昏睡，酣睡；
soviet  /ˈsəʊvɪət | ˈsɒvɪət/> n.苏维埃；苏联（人）；劳苏联政府；工代表会议
so-and-so  /ˈsəʊənsəʊ/> n.某某人；某某物；
sociable  /ˈsəʊʃəb(ə)l/> n.〈美〉恳亲会；〈英〉对座四轮马车；（二人座）S形椅子；
socialite  /ˈsəʊʃəlʌɪt/> n.上流社会人士，社交界头面人物；
surgeon  /ˈsəːdʒ(ə)n/> n.外科医生；[军]军医；
surgery  /ˈsəːdʒ(ə)ri/> n.外科学，外科手术；手术室；诊所；诊断时间
surfboard  /ˈsəːfbɔːd/> n.冲浪板；
surfeit  /ˈsəːfɪt/> n.过量，过度（尤指饮食）；（饮食过度引起的）不适；
sermon  /ˈsəːmən/> n.布道；讲道；讲道文章；一大通教训
serpent  /ˈsəːp(ə)nt/> n.蛇；狡猾的人；
serpentine  /ˈsəːp(ə)ntʌɪn/> n.[矿物]蛇纹石；
surplus  /ˈsəːpləs/> n.剩余额；公积金；顺差；盈余
surplice  /ˈsəːplɪs/> n.白色法衣，白袈裟；
certitude  /ˈsəːtɪtjuːd/> n.确信；
surcharge  /ˈsəːtʃɑːdʒ/> n.附加费，额外费用；超载；[法]过高收费行为；加盖过的邮票（或印花税票）
cervix  /ˈsəːvɪks/> n.子宫颈；颈部；
serviceman  /ˈsəːvɪsmən/> n.军人；维修人员；
servitude  /ˈsəːvɪtjuːd/> n.奴役（状况）；
serving  /ˈsəːvɪŋ/> n.服务；（食物或饮料的）一份；上菜；
sedative  /ˈsɛdətɪv/> n.[医]镇静剂，止痛药；能使安静的东西；
sediment  /ˈsɛdɪm(ə)nt/> n.[地]沉淀物；沉积物，沉渣；
secondary  /ˈsɛk(ə)nd(ə)ri/> n.副手，代理人；[天]双星中较小较暗的一个，卫星；[语]次重音；
secular  /ˈsɛkjʊlə/> n.牧师；[宗]俗僧，俗人；〈美〉（黑人中间流行的）俗歌；
secretary  /ˈsɛkrɪt(ə)ri/> n.秘书；干事，书记员；部长，大臣；
sexton  /ˈsɛkst(ə)n/> n.（负责管理教堂、教堂墓地并打钟和挖墓穴等事务的）教堂司事；
sector  /ˈsɛktə/> n.部门；领域；防御地区；扇形
sectary  /ˈsɛktəri/> n.属于某宗派的人，非教会派的新教徒；
selflessness  /ˈsɛlfləsnəs/> n.无私，忘我；
celluloid  /ˈsɛljʊlɔɪd/> n.赛璐珞，电影胶片；假象牙；
cellar  /ˈsɛlə/> n.地下室，地窖；酒窖；（都市住宅的）地下煤窖；[机]油盒
abnormality  /abnəˈmalɪti | abnɔːˈmalɪti/> n.反常；变态；畸形；不合常规的现象或事件
savage  /ˈsavɪdʒ/> n.未开化的人，野蛮人；野兽；有拘捕狂的警察；
savagery  /ˈsavɪdʒ(ə)ri/> n.野蛮；野蛮人；凶猛；荒凉的状态
sanctuary  /ˈsaŋ(k)tjʊəri/> n.避难所；庇护所；圣所；庇护
sanctum  /ˈsaŋ(k)təm/> n.（寺庙或教堂的）圣所；私室；
sanctity  /ˈsaŋ(k)tɪti/> n.圣洁，神圣；不可侵犯；
sanctitude  /ˈsaŋ(k)tɪtjuːd/> n.神圣，圣洁；
sanction  /ˈsaŋ(k)ʃ(ə)n/> n.制裁，处罚；批准，认可；约束力；鼓励
sanguine  /ˈsaŋɡwɪn/> n.血红色；自信，乐观；
soundbox  /ˈsaʊn(d)bɒks/> n.共鸣箱；
soundness  /ˈsaʊndnəs/> n.完全坚固，公正，稳固；
sable  /ˈseɪb(ə)l/> n.紫貂；紫貂皮；阴暗的；暗夜
sabre  /ˈseɪbə/> n.军刀；马刀；（击剑时用的）尖细的轻剑；武力威胁
safeguard  /ˈseɪfɡɑːd/> n.保护，保卫；防护措施；安全设施；
sailplane  /ˈseɪlpleɪn/> n.滑翔机的一种；
salesman  /ˈseɪlzmən/> n.推销员；售货员，店员；
salient  /ˈseɪlɪənt/> n.凸角，[建]突出部；进攻或防卫阵地的突出部分；
saline  /ˈseɪlʌɪn/> n.盐湖，盐泉；盐溶液；
sameness  /ˈseɪmnəs/> n.相同，酷似；千篇一律；
sanies  /ˈseɪnɪiːz/> n.脓液；
savory  /ˈseɪv(ə)ri/> n.（烹调用的）香薄荷；
savoury  /ˈseɪv(ə)ri/> n.美味小盘菜肴；
saviour  /ˈseɪvjə/> n.救世主，救星；救助者，拯救者；
saver  /ˈseɪvə/> n.救助者；俭省的人；节约装置；
savour  /ˈseɪvə/> n.（美）味；味道；滋味；兴趣
saving  /ˈseɪvɪŋ/> n.节约；节俭；储蓄金；挽救
seance  /ˈseɪɑːns | ˈseɪɒ̃s | ˈseɪɒns/> n.（招魂术士搞的）降神会；
sago  /ˈseɪɡəʊ/> n.西米，西米椰子；
seaboard  /ˈsiːbɔːd/> n.沿海地区，海滨；
seedling  /ˈsiːdlɪŋ/> n.秧苗，幼苗；树苗；实生苗；
cedar  /ˈsiːdə/> n.雪松；西洋杉；香椿；香柏
seafarer  /ˈsiːfɛːrə/> n.船员，航海家；
seahorse  /ˈsiːhɔːs/> n.海马；
secrecy  /ˈsiːkrɪsi/> n.保密；保密能力；秘密（状态）；守秘密
sequel  /ˈsiːkw(ə)l/> n.继续；续集，续篇；结局，后果；余波
sequence  /ˈsiːkw(ə)ns/> n.[数]数列，序列；顺序；连续；片断插曲
seeker  /ˈsiːkə/> n.搜索者，探求者；搜查人；自动导引的弹头；
sealskin  /ˈsiːlskɪn/> n.海豹皮；粗裘皮；
coelom  /ˈsiːləm/> n.体腔；
seaman  /ˈsiːmən/> n.水手，海员；水兵；
semen  /ˈsiːmən/> n.精液；种子；
seamanship  /ˈsiːmənʃɪp/> n.航海技术；船舶驾驶术；船艺；熟练海员的技术
seeming  /ˈsiːmɪŋ/> n.外观，外貌，表象；
scenery  /ˈsiːn(ə)ri/> n.风景，景色；舞台布景；风景画；舞台面
seaplane  /ˈsiːpleɪn/> n.水上飞机；
seaport  /ˈsiːpɔːt/> n.海港；港口都市；
seepage  /ˈsiːpɪdʒ/> n.漏，渗；渗漏；渗液；渗溢
sepia  /ˈsiːpɪə/> n.乌贼；乌贼属；乌贼的墨；颜料
seaside  /ˈsiːsʌɪd/> n.海滨；海边；
seawater  /ˈsiːwɔːtə/> n.海水；海流；
seizing  /ˈsiːzɪŋ/> n.抓；夺；捆绑；扣押
seagull  /ˈsiːɡʌl/> n.海鸥；
seashore  /ˈsiːʃɔː/> n.海岸，海滨；
seizure  /ˈsiːʒə/> n.没收；夺取；捕捉；突然发作
pseudonym  /ˈsjuːdənɪm/> n.假名，化名，（尤指）笔名；
pseudo  /ˈsjuːdəʊ/> n.[口]假冒的人，伪君子；
scabbard  /ˈskabəd/> n.鞘；
scaffold  /ˈskafəʊld | ˈskaf(ə)ld/> n.脚手架；断头台；
scallywag  /ˈskalɪwaɡ/> n.饭桶，无赖汉；
scammer  /ˈskamə/> n.[美俚]骗子，诈骗犯；
scantling  /ˈskantlɪŋ/> n.一点点，少量；
scatter  /ˈskatə/> n.撒布，散播；
scattergun  /ˈskatəɡʌn/> n.猎枪，机关枪；
scavenger  /ˈskavɪn(d)ʒə/> n.捡破烂的人，清扫工；食腐动物；
scoundrel  /ˈskaʊndr(ə)l/> n.恶棍，坏蛋；
scour  /ˈskaʊə/> n.擦；冲刷；洗涤剂；
scapegrace  /ˈskeɪpɡreɪs/> n.不可救药的恶棍，饭桶；
scapegoat  /ˈskeɪpɡəʊt/> n.替罪羊（又称代罪羔羊）；
skating  /ˈskeɪtɪŋ/> n.溜冰；如履薄冰；身处险境；冒着危险
schema  /ˈskiːmə/> n.概要，计划，图表；
scuba  /ˈskjuːbə | ˈskuːbə/> n.水肺，便携式水下呼吸器；
skewer  /ˈskjuːə/> n.串肉杆；烤肉叉子；叉状物；针状物
scramble  /ˈskramb(ə)l/> n.攀登；抢夺；混乱；[航]紧急起飞
screwball  /ˈskruːbɔːl/> n.曲线球，怪人，略带神经病的人；
scruple  /ˈskruːp(ə)l/> n.良心上的不安；顾虑，顾忌；
scrutiny  /ˈskruːtɪni/> n.细看，细阅；仔细的观察；监督；
scribbler  /ˈskrɪblə/> n.潦草写字的人，三流作家，小文人；
scrimmage  /ˈskrɪmɪdʒ/> n.&v.混战，并列争球；
scripture  /ˈskrɪptʃə/> n.经文，圣典；文稿；
scrivener  /ˈskrɪv(ə)nə/> n.公证人，代笔人；
schoolbook  /ˈskuːlbʊk/> n.教科书；
schoolhouse  /ˈskuːlhaʊs/> n.（尤指乡村学校的）校舍；
schoolmate  /ˈskuːlmeɪt/> n.同学，校友；
schoolmaster  /ˈskuːlmɑːstə/> n.男教师，男教员；教导着，教育者；校长；
schoolroom  /ˈskuːlrʊm | ˈskuːlruːm/> n.教室；（小村庄里只有一间教室的）学堂；
schoolchild  /ˈskuːltʃʌɪld/> n.学童；
schooner  /ˈskuːnə/> n.（有两个以上桅杆的）纵帆船；
squeaker  /ˈskwiːkə/> n.发出短促刺耳声的人（或物），雏鸽；
squabble  /ˈskwɒb(ə)l/> n.争吵，口角；
squadron  /ˈskwɒdrən/> n.中队；骑兵中队；飞行中队；有组织的一个群体
squalor  /ˈskwɒlə/> n.污秽，肮脏；悲惨；贫困；道德败坏
squatter  /ˈskwɒtə/> n.蹲着的人；擅自占用房屋或土地的人；
squirrel  /ˈskwɪr(ə)l/> n.松鼠，松鼠科动物；松鼠毛皮；
scarlet  /ˈskɑːlɪt/> n.猩红色；红衣；象征罪恶的深红色；绯红色
scholar  /ˈskɒlə/> n.奖学金获得者；学者；聪颖勤奋的学生；〈俚〉有文化的人，有某种文科知识的人
scorecard  /ˈskɔːkɑːd/> n.记分卡；
scoria  /ˈskɔːrɪə/> n.铁渣，矿渣，烧过的石头；
skirmish  /ˈskəːmɪʃ/> n.小规模战斗；小争论；小冲突；[体]〈美〉比赛
scurvy  /ˈskəːvi/> n.坏血病；
sceptic  /ˈskɛptɪk/> n.多疑者；怀疑宗教的人；无神论者；怀疑论者
scepticism  /ˈskɛptɪsɪz(ə)m/> n.怀疑态度；怀疑论，怀疑主义；怀疑宗教（教条）；=skepticism
scarecrow  /ˈskɛːkrəʊ/> n.（竖在田里吓鸟的）稻草人；邋遢的人，骨瘦如柴的人；
scarcity  /ˈskɛːsɪti/> n.不足，缺乏；稀少；萧条；
skimmer  /ˈskɪmə/> n.撇取者；撇取物；泛泛阅读者；剪嘴鸥科水禽
skinflint  /ˈskɪnflɪnt/> n.吝啬鬼，一毛不拔的人；
skinhead  /ˈskɪnhɛd/> n.理平头的男人；
skipper  /ˈskɪpə/> n.船长；队长；机长；跳跃者
skittle  /ˈskɪt(ə)l/> n.九柱游戏用的小柱；
schism  /ˈskɪz(ə)m | ˈsɪz(ə)m/> n.教会分立，分裂；
scuffle  /ˈskʌf(ə)l/> n.扭打，混战；拖脚行走，拖步；拖着脚走的声音；
scullery  /ˈskʌl(ə)ri/> n.（洗碗盘、蔬菜等的）后厨房，（炊具食品等的）洗涤室；
sculpture  /ˈskʌlptʃə/> n.雕刻（术），塑像；雕刻品；刻纹；
scupper  /ˈskʌpə/> n.[航]甲板上的排水孔；排水口，出水口；水性杨花的女人；水沟
scurry  /ˈskʌri/> n.快步急跑，疾走；仓皇奔跑声；骤雨，骤雪；短距离赛马
scuttle  /ˈskʌt(ə)l/> n.天窗，气窗；煤桶，煤箱；筐；[船]舷窗
scuttlebutt  /ˈskʌt(ə)lbʌt/> n.引水的器具，水桶，闲话；饮用水桶；
skylark  /ˈskʌɪlɑːk/> n.云雀，发疯般的胡闹；
skyline  /ˈskʌɪlʌɪn/> n.地平线；（以天空为背景的）轮廓线；架空索；展览会场的顶层
skylight  /ˈskʌɪlʌɪt/> n.天窗；
slammer  /ˈslamə/> n.监狱；
slattern  /ˈslat(ə)n/> n.懒妇，妓女；
presbytery  /ˈprɛzbɪt(ə)ri/> n.长老会，长老会辖区，内殿；
presbyter  /ˈprɛzbɪtə/> n.长老（指长老制教会中的教徒领袖）；
precious  /ˈprɛʃəs/> n.珍爱的人；可爱的人；
denomination  /dɪˌnɒmɪˈneɪʃ(ə)n/> n.宗派；教派；面额；名称
 be aboriginal       |  abəˈrɪdʒɪnəl
adj.原产的，原始的；土著人的；
Primitive; unsophisticated.
Inhabiting or existing in a land from the earliest times or from before the arrival of colonists; indigenous.
  
Relating to the Australian Aborigines or their languages.
  
....
the abdominal        |  abˈdɒmɪnəl
腹肌
Of, pertaining to, or situated on the abdomen.
An abdominal muscle.

‘Pilates greatly benefits the lower abdominals’
....
the adoration        |  adəˈreɪʃən
爱慕
Profound devotion.
Deep love and respect.

‘he gave her a look of adoration’
Worship; veneration.

‘the Adoration of the Magi’
....
the affectation      |  afɛkˈteɪʃən
n.假装；装模作样；装模作样的言行；矫情
A studied or ostentatious pretense or attempt.
Behaviour, speech, or writing that is pretentious and designed to impress.

the expulsion        |  ɛkˈspʌlʃən | ɪkˈspʌlʃən
n.驱逐；开除；排出；喷出
Forcible ejection.
The action of forcing someone to leave an organization.

‘his expulsion from the union’
The action or process of forcing someone to leave a place.

‘the expulsion of two diplomats from the embassy’
The action of forcing something out of the body.

the computer         |  kəmˈpjuːtə
n.（电子）计算机，电脑；
An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
  
A person who makes calculations, especially with a calculating machine.
  
....
the computer         |  kəmˈpjuːtə
n.（电子）计算机，电脑；
An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
  
A person who makes calculations, especially with a calculating machine.
  
....
 to compute          |  kəmˈpjuːt
v.计算，估算；推断；用计算机计算；
Reckon or calculate (a figure or amount)
   ‘the hire charge is computed on a daily basis’
Seem reasonable; make sense.
   ‘the idea just doesn't compute’
....
the computer         |  kəmˈpjuːtə
An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
  
A person who makes calculations, especially with a calculating machine.
  
....
): I                |  ʌɪ
The imaginary quantity equal to the square root of minus one.
  
Electric current.

): I                |  ʌɪ
The imaginary quantity equal to the square root of minus one.
  
Electric current.
   ‘V = I/R’
The chemical element iodine.
  
....
the I                |  ʌɪ
n.（第一人称单数代词，用作动词的主语）我；英文字母i；
The ninth letter of the alphabet.
   ‘The letter i is made up of a single minim, with or without a dot above it.’
Denoting the next after H in a set of items, categories, etc.
  
The Roman numeral for one.
   ‘Only assets included in Section I that are pledged should be reported here.’
(in metaphysics) the subject or object of self-consciousness; the ego.
  
....
P: I                |  ʌɪ
Used by a speaker to refer to himself or herself. -- used in West Indian
   ‘accept me for what I am’
Me. -- used in West Indian
   ‘Junior tell I is the army him a'work for’
(especially among Rastafarians) used in reference to oneself or to people in general. -- used in West Indian
   ‘I and I must submit to and follow Jah’
....
A: I                |  ʌɪ
Island(s) or Isle(s) (chiefly on maps).
  
Italy (international vehicle registration).
  
....
P: you              |  juː
pron.你；你们，您们；各位；大家
Used to refer to the person or people that the speaker is addressing. -- used in West Indian
   ‘are you listening?’
Used to refer to the person being addressed together with other people regarded in the same class.
   ‘you Americans’
Used in exclamations to address one or more people.
   ‘you fools’
Your. -- used in West Indian
   ‘I didn't know that was you nickname’
Used to refer to any person in general.
   ‘after a while, you get used to it’
....
 be new              |  njuː
adj.新的，崭新的；新鲜的，新到的；现代的；初次（听到）的
Produced, introduced, or discovered recently or now for the first time; not existing before.
   ‘the new Madonna album’
Not previously used or owned.
   ‘a second-hand bus costs a fraction of a new one’
Of recent origin or arrival.
   ‘a new baby’
(of vegetables) dug or harvested early in the season.
   ‘new potatoes’
Already existing but seen, experienced, or acquired recently or now for the first time.
   ‘her new bike’
Unfamiliar or strange to (someone)
   ‘a way of living that was new to me’
Inexperienced at or unaccustomed to (an activity)
   ‘I'm quite new to gardening’
Different from a recent previous one.
   ‘I have a new assistant’
In addition to another or others already existing.
   ‘looking for new business’
Discovered or founded later than and named after.
   ‘New York’
Beginning anew and in a transformed way.
   ‘starting a new life’
(of a person) reinvigorated.
   ‘a bottle of pills would make him a new man’
Superseding and more advanced than another or others of the same kind.
   ‘the new architecture’
Reviving another or others of the same kind.
   ‘the New Bohemians’
....
A: new              |  njuː
adv.新近，最近；
Newly; recently.
   ‘new-mown hay’
....
